id,team,first_name,second_name,web_name,element_type,squad_number,photo
1,1,Bernd,Leno,Leno,1,,80201.jpg
2,1,Rúnar Alex,Rúnarsson,Rúnarsson,1,,115918.jpg
3,1,Willian,Borges Da Silva,Willian,3,,47431.jpg
4,1,Pierre-Emerick,Aubameyang,Aubameyang,4,,54694.jpg
5,1,Cédric,Soares,Cédric,2,,58822.jpg
6,1,Alexandre,Lacazette,Lacazette,4,,59966.jpg
7,1,Granit,Xhaka,Xhaka,3,,84450.jpg
8,1,Pablo,Marí,Marí,2,,92371.jpg
9,1,Héctor,Bellerín,Bellerín,2,,98745.jpg
10,1,Calum,Chambers,Chambers,2,,101184.jpg
11,1,Sead,Kolasinac,Kolasinac,2,,111457.jpg
12,1,Mohamed Naser,El Sayed Elneny,Elneny,3,,153256.jpg
13,1,Ainsley,Maitland-Niles,Maitland-Niles,3,,154043.jpg
14,1,Rob,Holding,Holding,2,,156074.jpg
15,1,Thomas,Partey,Partey,3,,167199.jpg
16,1,Kieran,Tierney,Tierney,2,,192895.jpg
17,1,Nicolas,Pépé,Pépé,3,,195735.jpg
18,1,Lucas,Torreira,Torreira,3,,198849.jpg
20,1,Edward,Nketiah,Nketiah,4,,205533.jpg
21,1,Emile,Smith Rowe,Smith Rowe,3,,209289.jpg
22,1,Bukayo,Saka,Saka,3,,223340.jpg
23,1,Gabriel,Magalhães,Gabriel,2,,226597.jpg
24,1,Konstantinos,Mavropanos,Mavropanos,2,,233963.jpg
25,1,Mattéo,Guendouzi,Guendouzi,3,,242166.jpg
26,1,Gabriel Teodoro,Martinelli Silva,Martinelli,3,,444145.jpg
27,1,William,Saliba,Saliba,2,,462424.jpg
67,1,Ben,White,White,2,,198869.jpg
466,1,Nuno,Varela Tavares,Tavares,2,,437626.jpg
478,1,Albert,Sambi Lokonga,Sambi Lokonga,3,,437742.jpg
530,1,Folarin,Balogun,Balogun,4,,232223.jpg
531,1,Reiss,Nelson,Nelson,3,,200641.jpg
532,1,Karl,Hein,Hein,1,,463748.jpg
558,1,Martin,Ødegaard,Ødegaard,3,,184029.jpg
559,1,Aaron,Ramsdale,Ramsdale,1,,225321.jpg
572,1,Arthur,Okonkwo,Okonkwo,1,,220682.jpg
590,1,Takehiro,Tomiyasu,Tomiyasu,2,,223723.jpg
28,2,Jed,Steer,Steer,1,,79852.jpg
29,2,Conor,Hourihane,Hourihane,3,,85242.jpg
30,2,Emiliano,Martínez,Martínez,1,,98980.jpg
31,2,Björn,Engels,Engels,2,,108156.jpg
32,2,Bertrand,Traoré,Traoré,3,,110504.jpg
34,2,Morgan,Sanson,Sanson,3,,122775.jpg
35,2,John,McGinn,McGinn,3,,122806.jpg
36,2,Kortney,Hause,Hause,2,,123354.jpg
37,2,Mahmoud Ahmed,Ibrahim Hassan,Trézéguet,3,,148508.jpg
38,2,Tyrone,Mings,Mings,2,,149484.jpg
39,2,Matt,Targett,Targett,2,,169359.jpg
40,2,Ollie,Watkins,Watkins,4,,178301.jpg
41,2,Marvelous,Nakamba,Nakamba,3,,184704.jpg
42,2,Anwar,El Ghazi,El Ghazi,3,,193488.jpg
43,2,Emiliano,Buendía Stati,Buendía,3,,195546.jpg
44,2,Matthew,Cash,Cash,2,,199796.jpg
45,2,Ezri,Konsa Ngoyo,Konsa,2,,199798.jpg
46,2,Frédéric,Guilbert,Guilbert,2,,203368.jpg
47,2,Wesley,Moraes,Wesley,4,,213345.jpg
48,2,Mbwana Ally,Samatta,Samatta,4,,217487.jpg
49,2,Keinan,Davis,Davis,4,,221239.jpg
50,2,Douglas Luiz,Soares de Paulo,Douglas Luiz,3,,230046.jpg
51,2,Jacob,Ramsey,Ramsey,3,,232653.jpg
52,2,Ashley,Young,Young,2,,18892.jpg
283,2,Axel,Tuanzebe,Tuanzebe,2,,180804.jpg
337,2,Danny,Ings,Ings,4,,84939.jpg
492,2,Leon,Bailey,Bailey,3,,215711.jpg
496,2,Aaron,Ramsey,Ramsey,3,,447715.jpg
497,2,Jaden,Philogene-Bidace,Philogene-Bidace,3,,481624.jpg
526,2,Carney,Chukwuemeka,Chukwuemeka,3,,478912.jpg
568,2,Cameron,Archer,Archer,4,,433979.jpg
596,2,Viljami,Sinisalo,Sinisalo,1,,248164.jpg
610,2,Lamare,Bogarde,Bogarde,2,,515597.jpg
76,3,Pontus,Jansson,Jansson,2,,61810.jpg
77,3,Christian,Nørgaard,Nørgaard,3,,128295.jpg
78,3,Ivan,Toney,Toney,4,,144485.jpg
79,3,Tariqe,Fosu-Henry,Fosu,3,,154138.jpg
80,3,David,Raya Martin,Raya,1,,154561.jpg
81,3,Sergi,Canós,Canós,3,,174932.jpg
82,3,Pelenda Joshua,Dasilva,Dasilva,3,,183656.jpg
83,3,Rico,Henry,Henry,2,,194010.jpg
84,3,Vitaly,Janelt,Janelt,3,,204580.jpg
85,3,Saman,Ghoddos,Ghoddos,3,,205836.jpg
86,3,Mathias,Jensen,Jensen,3,,207283.jpg
87,3,Charlie,Goode,Goode,2,,213687.jpg
88,3,Marcus,Forss,Forss,4,,216620.jpg
89,3,Mads,Roerslev Rasmussen,Roerslev,2,,226956.jpg
90,3,Mads,Bech Sørensen,Sørensen,2,,228044.jpg
91,3,Ethan,Pinnock,Pinnock,2,,231065.jpg
92,3,Ellery,Balcombe,Balcombe,1,,235448.jpg
93,3,Jan,Zamburek,Zamburek,3,,420922.jpg
94,3,Patrik,Gunnarsson,Gunnarsson,1,,434024.jpg
95,3,Halil,Dervişoğlu,Dervişoğlu,4,,434662.jpg
96,3,Bryan,Mbeumo,Mbeumo,3,,446008.jpg
97,3,Mads,Bidstrup,Bidstrup,3,,481405.jpg
479,3,Frank,Onyeka,Onyeka,3,,428580.jpg
483,3,Kristoffer,Ajer,Ajer,2,,191866.jpg
498,3,Dominic,Thompson,Thompson,2,,232247.jpg
499,3,Shandon,Baptiste,Baptiste,3,,432160.jpg
524,3,Yoane,Wissa,Wissa,3,,216646.jpg
