id,minutes,yellow_cards,red_cards,penalties_missed,penalties_saved,goals_scored,assists,clean_sheets,goals_conceded,saves,own_goals
1,270,0,0,0,0,0,0,0,9,9,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,87,0,0,0,0,0,0,0,4,0,0
5,180,1,0,0,0,0,0,0,7,0,0
6,31,0,0,0,0,0,0,0,1,0,0
7,214,0,1,0,0,0,0,0,9,0,0
8,180,1,0,0,0,0,0,0,4,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,170,0,0,0,0,0,0,0,7,0,0
11,90,1,0,0,0,0,0,0,5,0,0
12,45,0,0,0,0,0,0,0,2,0,0
13,19,0,0,0,0,0,0,0,1,0,0
14,180,1,0,0,0,0,0,0,7,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,245,0,0,0,0,0,0,0,9,0,0
17,180,0,0,0,0,0,0,0,4,0,0
18,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,270,0,0,0,0,0,0,0,9,0,0
22,136,0,0,0,0,0,0,0,6,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0
26,148,0,0,0,0,0,0,0,3,0,0
27,0,0,0,0,0,0,0,0,0,0,0
67,90,0,0,0,0,0,0,0,2,0,0
466,33,0,0,0,0,0,0,0,0,0,0
478,180,1,0,0,0,0,0,0,4,0,0
530,69,0,0,0,0,0,0,0,1,0,0
531,19,0,0,0,0,0,0,0,1,0,0
532,0,0,0,0,0,0,0,0,0,0,0
558,70,0,0,0,0,0,0,0,4,0,0
559,0,0,0,0,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,270,1,0,0,0,0,0,1,4,6,0
31,0,0,0,0,0,0,0,0,0,0,0
32,18,0,0,0,0,0,1,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,180,0,0,0,0,1,0,1,3,0,0
36,1,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
38,180,1,0,0,0,0,2,1,3,0,0
39,135,0,0,0,0,0,0,0,3,0,0
40,11,0,0,0,0,0,0,0,0,0,0
41,117,0,0,0,0,0,0,0,3,0,0
42,239,1,0,0,0,1,0,1,3,0,0
43,246,1,0,0,0,1,0,1,4,0,0
44,270,1,0,0,0,0,0,1,4,0,0
45,268,0,0,0,0,0,0,1,4,0,0
46,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
50,178,1,0,0,0,0,0,1,1,0,0
51,135,0,0,0,0,0,0,1,1,0,0
52,258,0,0,0,0,0,0,1,4,0,0
283,92,0,0,0,0,0,0,0,1,0,0
337,270,1,0,0,0,2,1,1,4,0,0
492,30,0,0,0,0,0,1,0,1,0,0
496,0,0,0,0,0,0,0,0,0,0,0
497,4,0,0,0,0,0,0,0,0,0,0
526,62,0,0,0,0,0,0,0,1,0,0
568,0,0,0,0,0,0,0,0,0,0,0
76,270,0,0,0,0,0,1,2,1,0,0
77,270,2,0,0,0,1,0,2,1,0,0
78,270,1,0,0,0,1,0,2,1,0,0
79,0,0,0,0,0,0,0,0,0,0,0
80,270,0,0,0,0,0,0,2,1,10,0
81,270,0,0,0,0,1,0,2,1,0,0
82,0,0,0,0,0,0,0,0,0,0,0
83,270,0,0,0,0,0,0,2,1,0,0
84,264,1,0,0,0,0,0,2,1,0,0
85,85,0,0,0,0,0,0,0,1,0,0
86,10,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0
88,4,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
90,19,0,0,0,0,0,0,0,0,0,0
91,270,0,0,0,0,0,1,2,1,0,0
92,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0
96,240,0,0,0,0,0,0,2,1,0,0
97,13,0,0,0,0,0,0,0,0,0,0
479,148,0,0,0,0,0,0,2,0,0,0
483,250,0,0,0,0,0,0,2,1,0,0
498,0,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0,0
