,web_name,first_name,second_name,photo,team_code,element_type,short_name,name,singular_name,singular_name_short
0,Leno,Bernd,Leno,80201.jpg,3,1,ARS,Arsenal,Goalkeeper,GKP
1,Rúnarsson,Rúnar Alex,Rúnarsson,115918.jpg,3,1,ARS,Arsenal,Goalkeeper,GKP
2,Willian,Willian,Borges Da Silva,47431.jpg,3,3,ARS,Arsenal,Midfielder,MID
3,Aubameyang,Pierre-Emerick,Aubameyang,54694.jpg,3,4,ARS,Arsenal,Forward,FWD
4,Cédric,Cédric,Soares,58822.jpg,3,2,ARS,Arsenal,Defender,DEF
5,Lacazette,Alexandre,Lacazette,59966.jpg,3,4,ARS,Arsenal,Forward,FWD
6,Xhaka,Granit,Xhaka,84450.jpg,3,3,ARS,Arsenal,Midfielder,MID
7,Marí,Pablo,Marí,92371.jpg,3,2,ARS,Arsenal,Defender,DEF
8,Bellerín,Héctor,Bellerín,98745.jpg,3,2,ARS,Arsenal,Defender,DEF
9,Chambers,Calum,Chambers,101184.jpg,3,2,ARS,Arsenal,Defender,DEF
10,Kolasinac,Sead,Kolasinac,111457.jpg,3,2,ARS,Arsenal,Defender,DEF
11,Elneny,Mohamed Naser,El Sayed Elneny,153256.jpg,3,3,ARS,Arsenal,Midfielder,MID
12,Maitland-Niles,Ainsley,Maitland-Niles,154043.jpg,3,3,ARS,Arsenal,Midfielder,MID
13,Holding,Rob,Holding,156074.jpg,3,2,ARS,Arsenal,Defender,DEF
14,Partey,Thomas,Partey,167199.jpg,3,3,ARS,Arsenal,Midfielder,MID
15,Tierney,Kieran,Tierney,192895.jpg,3,2,ARS,Arsenal,Defender,DEF
16,Pépé,Nicolas,Pépé,195735.jpg,3,3,ARS,Arsenal,Midfielder,MID
17,Torreira,Lucas,Torreira,198849.jpg,3,3,ARS,Arsenal,Midfielder,MID
18,Nketiah,Edward,Nketiah,205533.jpg,3,4,ARS,Arsenal,Forward,FWD
19,Smith Rowe,Emile,Smith Rowe,209289.jpg,3,3,ARS,Arsenal,Midfielder,MID
20,Saka,Bukayo,Saka,223340.jpg,3,3,ARS,Arsenal,Midfielder,MID
21,Gabriel,Gabriel,Magalhães,226597.jpg,3,2,ARS,Arsenal,Defender,DEF
22,Mavropanos,Konstantinos,Mavropanos,233963.jpg,3,2,ARS,Arsenal,Defender,DEF
23,Guendouzi,Mattéo,Guendouzi,242166.jpg,3,3,ARS,Arsenal,Midfielder,MID
24,Martinelli,Gabriel Teodoro,Martinelli Silva,444145.jpg,3,3,ARS,Arsenal,Midfielder,MID
25,Saliba,William,Saliba,462424.jpg,3,2,ARS,Arsenal,Defender,DEF
26,White,Ben,White,198869.jpg,3,2,ARS,Arsenal,Defender,DEF
27,Tavares,Nuno,Varela Tavares,437626.jpg,3,2,ARS,Arsenal,Defender,DEF
28,Sambi Lokonga,Albert,Sambi Lokonga,437742.jpg,3,3,ARS,Arsenal,Midfielder,MID
29,Balogun,Folarin,Balogun,232223.jpg,3,4,ARS,Arsenal,Forward,FWD
30,Nelson,Reiss,Nelson,200641.jpg,3,3,ARS,Arsenal,Midfielder,MID
31,Hein,Karl,Hein,463748.jpg,3,1,ARS,Arsenal,Goalkeeper,GKP
32,Ødegaard,Martin,Ødegaard,184029.jpg,3,3,ARS,Arsenal,Midfielder,MID
33,Ramsdale,Aaron,Ramsdale,225321.jpg,3,1,ARS,Arsenal,Goalkeeper,GKP
34,Okonkwo,Arthur,Okonkwo,220682.jpg,3,1,ARS,Arsenal,Goalkeeper,GKP
35,Steer,Jed,Steer,79852.jpg,7,1,AVL,Aston Villa,Goalkeeper,GKP
36,Hourihane,Conor,Hourihane,85242.jpg,7,3,AVL,Aston Villa,Midfielder,MID
37,Martínez,Emiliano,Martínez,98980.jpg,7,1,AVL,Aston Villa,Goalkeeper,GKP
38,Engels,Björn,Engels,108156.jpg,7,2,AVL,Aston Villa,Defender,DEF
39,Traoré,Bertrand,Traoré,110504.jpg,7,3,AVL,Aston Villa,Midfielder,MID
40,Sanson,Morgan,Sanson,122775.jpg,7,3,AVL,Aston Villa,Midfielder,MID
41,McGinn,John,McGinn,122806.jpg,7,3,AVL,Aston Villa,Midfielder,MID
42,Hause,Kortney,Hause,123354.jpg,7,2,AVL,Aston Villa,Defender,DEF
43,Trézéguet,Mahmoud Ahmed,Ibrahim Hassan,148508.jpg,7,3,AVL,Aston Villa,Midfielder,MID
44,Mings,Tyrone,Mings,149484.jpg,7,2,AVL,Aston Villa,Defender,DEF
45,Targett,Matt,Targett,169359.jpg,7,2,AVL,Aston Villa,Defender,DEF
46,Watkins,Ollie,Watkins,178301.jpg,7,4,AVL,Aston Villa,Forward,FWD
47,Nakamba,Marvelous,Nakamba,184704.jpg,7,3,AVL,Aston Villa,Midfielder,MID
48,El Ghazi,Anwar,El Ghazi,193488.jpg,7,3,AVL,Aston Villa,Midfielder,MID
49,Buendía,Emiliano,Buendía Stati,195546.jpg,7,3,AVL,Aston Villa,Midfielder,MID
50,Cash,Matthew,Cash,199796.jpg,7,2,AVL,Aston Villa,Defender,DEF
51,Konsa,Ezri,Konsa Ngoyo,199798.jpg,7,2,AVL,Aston Villa,Defender,DEF
52,Guilbert,Frédéric,Guilbert,203368.jpg,7,2,AVL,Aston Villa,Defender,DEF
53,Wesley,Wesley,Moraes,213345.jpg,7,4,AVL,Aston Villa,Forward,FWD
54,Samatta,Mbwana Ally,Samatta,217487.jpg,7,4,AVL,Aston Villa,Forward,FWD
55,Davis,Keinan,Davis,221239.jpg,7,4,AVL,Aston Villa,Forward,FWD
