id,most_selected,most_transferred_in,most_captained,most_vice_captained
1,275.0,1.0,233.0,277.0
2,277.0,272.0,233.0,277.0
3,277.0,419.0,277.0,277.0
4,233.0,579.0,233.0,233.0
5,233.0,579.0,233.0,579.0
6,233.0,413.0,579.0,233.0
7,233.0,127.0,579.0,233.0
8,233.0,256.0,233.0,579.0
9,233.0,205.0,233.0,233.0
10,233.0,138.0,233.0,205.0
11,233.0,142.0,233.0,579.0
12,233.0,144.0,233.0,233.0
13,233.0,142.0,233.0,579.0
14,233.0,240.0,233.0,233.0
15,233.0,450.0,233.0,579.0
16,233.0,261.0,233.0,579.0
17,233.0,450.0,233.0,261.0
18,233.0,40.0,233.0,233.0
19,233.0,26.0,233.0,579.0
20,233.0,413.0,233.0,579.0
21,233.0,420.0,233.0,233.0
22,237.0,240.0,233.0,579.0
23,237.0,681.0,233.0,579.0
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
